"","SYMBOL","ENTREZID","R"
"177","ZNF576","79177",0.198489136830413
"178","ZNF575","284346",0.234431198010513
"179","ZNF574","64763",0.131836981823697
"180","ZNF573","126231",0.428777684661751
"181","ZNF572","137209",0.28502375456493
"182","ZNF571","51276",0.316377387578211
"183","ZNF570","148268",0.263495046559522
"184","ZNF569","148266",-0.135240781045679
"185","ZNF568","374900",0.0149622622188146
"186","ZNF567","163081",-0.15908451089112
"187","ZNF566","84924",-0.188267265961182
"188","ZNF565","147929",0.138789068948392
"189","ZNF564","163050",0.166001856850486
"190","ZNF563","147837",-0.51799581479278
"191","ZNF562","54811",0.0386343139313998
"192","ZNF561","93134",0.0149901710850169
"193","ZNF560","147741",-0.221685324886539
"194","ZNF559","84527",0.203776921676698
"195","ZNF558","148156",0.234677893428237
"196","ZNF557","79230",-0.344795494462659
"197","ZNF556","80032",0.063189102589663
"198","ZNF555","148254",-0.0626164310639461
"199","ZNF554","115196",0.052314627419284
"201","ZNF552","79818",-0.0997915064803078
"202","ZNF551","90233",0.106088921507591
"203","ZNF550","162972",-0.204339918357934
"204","ZNF549","256051",-0.0403856735092321
"205","ZNF548","147694",0.275328140149764
"206","ZNF547","284306",-0.165418040411147
"207","ZNF546","339327",0.154937833031819
"209","ZNF544","27300",0.0329864208645269
"210","ZNF543","125919",0.280350986050761
"212","ZNF540","163255",0.187357356459276
"215","ZNF536","9745",0.142019138717194
"217","ZNF532","55205",0.202539123843643
"218","ZNF530","348327",0.19332801464981
"219","ZNF529","57711",0.224308767515299
"220","ZNF528","84436",-0.147796092934425
"221","ZNF526","116115",-0.0186930364390339
"222","ZNF524","147807",0.266990557301291
"223","ZNF521","25925",-0.0723075252921324
"224","ZNF519","162655",0.308063258404598
"226","ZNF517","340385",-0.321078429506333
"227","ZNF514","84874",0.315426428670207
"228","ZNF513","130557",-0.0240494686007178
"229","ZNF512","84450",0.408715318795733
"230","ZNF511","118472",0.177597781669686
"231","ZNF510","22869",0.375803094936231
"234","ZNF507","22847",0.353762478400922
"235","ZNF503","84858",0.128873045365719
"236","ZNF502","91392",0.383227215270827
"237","ZNF501","115560",0.249278001668674
"238","ZNF500","26048",0.129744650226916
"241","ZNF497","162968",-0.106352179960146
"242","ZNF496","84838",0.236151686077621
"243","ZNF493","284443",-0.144152889185992
"244","ZNF491","126069",-0.184057807429496
"245","ZNF490","57474",0.345330851175015
"246","ZNF485","220992",-0.00225103441974358
"247","ZNF484","83744",0.325956063528002
"248","ZNF483","158399",-0.329823072025083
"250","ZNF480","147657",0.0388614330868625
"251","ZNF474","133923",-0.248522339303628
"252","ZNF473","25888",0.151284796358737
"253","ZNF471","57573",0.348562940661208
"254","ZNF468","90333",-0.150881685052426
"255","ZNF467","168544",0.037994100912905
"256","ZNF462","58499",0.0549361658106329
"257","ZNF460","10794",0.123479885841648
"258","ZNF454","285676",0.0834096736817509
"260","ZNF451","26036",0.460339476876214
"261","ZNF45","7596",0.265709683031335
"262","ZNF449","203523",0.0831764728557169
"264","ZNF446","55663",0.124756123933661
"265","ZNF445","353274",-0.240253131513373
"266","ZNF444","55311",0.264616000377018
"267","ZNF443","10224",0.474155786302015
"268","ZNF442","79973",-0.00300242555964862
"269","ZNF441","126068",0.105493337058267
"271","ZNF44","51710",-0.0252513013805222
"272","ZNF439","90594",0.0487682567875794
"273","ZNF438","220929",0.163213417506174
"274","ZNF436","80818",0.211483194377042
"277","ZNF433","163059",-0.13865022337782
"278","ZNF432","9668",-0.268507942170022
"279","ZNF431","170959",0.123831989180535
"280","ZNF430","80264",-0.326796079024298
"281","ZNF43","7594",-0.271360658559903
"282","ZNF429","353088",0.106905754196325
"283","ZNF426","79088",0.475971198470406
"284","ZNF425","155054",0.0692425558449269
"285","ZNF423","23090",0.0439128477919827
"286","ZNF420","147923",-0.238977911912954
"288","ZNF419","79744",0.30259763618748
"289","ZNF418","147686",0.387826101699982
"290","ZNF417","147687",-0.0338665403561247
"291","ZNF416","55659",0.495438463376358
"292","ZNF415","55786",0.14742257357058
"293","ZNF414","84330",-0.151996586068475
"294","ZNF410","57862",0.242526433478883
"295","ZNF41","7592",0.112396085132916
"296","ZNF408","79797",0.201970473336441
"297","ZNF407","55628",0.196788610807622
"299","ZNF404","342908",-0.0709108189607797
"301","ZNF398","57541",-0.318779878094234
"302","ZNF397","84307",0.205329101079571
"303","ZNF396","252884",-0.421490789958521
"304","ZNF395","55893",0.405006858428139
"305","ZNF394","84124",-0.0590352805758862
"307","ZNF384","171017",0.172106711442811
"308","ZNF383","163087",0.0306280624032366
"309","ZNF382","84911",-0.168236736893614
"310","ZNF37A","7587",-0.0863832945917546
"311","ZNF367","195828",0.3095647457928
"312","ZNF366","167465",0.285566072101916
"313","ZNF365","22891",0.115418028488433
"315","ZNF358","140467",-0.0283875981400103
"316","ZNF354C","30832",-0.0171066356720336
"317","ZNF354B","117608",-0.288542986040885
"318","ZNF354A","6940",-0.113062105864671
"319","ZNF350","59348",0.260704258072917
"320","ZNF35","7584",0.254539192149271
"321","ZNF347","84671",0.401698419721718
"322","ZNF346","23567",0.0332889402361875
"323","ZNF345","25850",-0.260280628628744
"324","ZNF343","79175",-0.167295456743988
"326","ZNF341","84905",0.376908021705365
"327","ZNF34","80778",0.246853583611681
"328","ZNF33A","7581",-0.41127509856909
"329","ZNF337","26152",0.393793590990428
"331","ZNF335","63925",0.209034502431463
"332","ZNF334","55713",-0.100981291980888
"333","ZNF333","84449",0.0512474522722271
"334","ZNF331","55422",0.0139308110640639
"335","ZNF330","27309",-0.0426269801369627
"336","ZNF329","79673",0.43775971537035
"337","ZNF326","284695",-0.0204608561281645
"338","ZNF324","25799",0.140935523278418
"342","ZNF320","162967",-0.306146405510381
"343","ZNF32","7580",0.163037915421077
"344","ZNF319","57567",0.232746990737779
"345","ZNF318","24149",-0.0839871093893639
"346","ZNF317","57693",-0.205070642730155
"349","ZNF311","282890",-0.107996061139307
"353","ZNF304","57343",-0.166287333511666
"354","ZNF302","55900",-0.0375176116051356
"355","ZNF300","91975",0.346053268011111
"356","ZNF30","90075",0.295942459898536
"357","ZNF3","7551",0.241986277399311
"363","ZNF287","57336",0.510838952478041
"366","ZNF284","342909",-0.00776475120561072
"367","ZNF28","7576",-0.202030765305885
"369","ZNF277","11179",0.20826729828052
"370","ZNF276","92822",-0.0280634878607001
"371","ZNF275","10838",0.17316202821142
"372","ZNF274","10782",0.384664776469787
"373","ZNF273","10793",-0.0259781591985601
"375","ZNF268","10795",-0.0135425942179605
"376","ZNF267","10308",-0.252519116690394
"377","ZNF266","10781",-0.0707618658974761
"379","ZNF264","9422",-0.0248976443002664
"380","ZNF263","10127",0.557872843121876
"381","ZNF26","7574",0.301745245933091
"383","ZNF257","113835",-0.309804389160053
"384","ZNF256","10172",0.360700857395379
"385","ZNF254","9534",0.209453653284674
"386","ZNF253","56242",-0.227302718316529
"387","ZNF250","58500",0.346425972761999
"388","ZNF25","219749",0.213235928722757
"389","ZNF248","57209",0.0393786976412753
"390","ZNF24","7572",0.440845003107467
"391","ZNF239","8187",0.321158321398934
"393","ZNF236","7776",0.276821084673528
"394","ZNF235","9310",0.478545929448791
"395","ZNF234","10780",0.131799003876488
"396","ZNF233","353355",-0.266244145060642
"397","ZNF232","7775",0.242817131570713
"398","ZNF230","7773",0.219595666818135
"399","ZNF23","7571",-0.32748915631294
"400","ZNF229","7772",-0.00446701867345165
"402","ZNF227","7770",-0.112522145159996
"403","ZNF226","7769",-0.133971870042922
"404","ZNF225","7768",-0.0212068638497046
"405","ZNF224","7767",0.278223935412481
"406","ZNF223","7766",-0.372943950570089
"407","ZNF222","7673",-0.244289901357469
"408","ZNF221","7638",-0.0492943197479352
"409","ZNF22","7570",0.291249461067393
"410","ZNF219","51222",0.353626953549872
"412","ZNF217","7764",-0.103205966454202
"413","ZNF215","7762",-0.351166511869955
"414","ZNF214","7761",-0.262763321141455
"415","ZNF213","7760",-0.216377530231345
"416","ZNF212","7988",0.211608676059902
"417","ZNF211","10520",0.388053995572872
"419","ZNF208","7757",-0.273568711950802
